490,235,37,61
491,236,37,61
493,236,37,61
494,236,37,61
496,237,37,61
497,237,37,61
499,237,37,61
500,238,37,61
502,238,37,61
504,238,37,61
504,238,37,61
505,238,37,61
506,238,37,61
507,238,37,61
507,238,37,61
508,238,37,61
509,238,37,61
510,238,37,61
510,238,37,61
511,238,37,61
513,238,37,61
515,238,37,61
517,238,37,61
519,238,37,61
521,238,37,61
522,239,37,61
523,239,37,61
524,239,37,61
525,240,37,61
527,240,37,61
529,240,37,61
532,240,37,61
534,240,37,61
537,240,37,61
539,240,37,61
540,240,37,61
541,240,37,61
542,240,37,61
543,240,37,61
544,240,37,61
546,240,37,61
548,241,37,61
550,241,37,61
552,241,37,61
554,242,37,61
556,242,37,61
557,243,37,61
558,243,37,61
559,244,37,61
561,245,37,61
561,245,37,61
562,245,37,61
563,245,37,61
563,245,37,61
564,245,37,61
566,244,37,61
568,244,37,61
570,244,37,61
572,243,37,61
575,243,37,61
576,243,37,61
578,243,37,61
579,243,37,61
581,243,37,61
582,243,37,61
584,243,37,61
585,244,37,61
587,244,37,61
588,244,37,61
590,245,37,61
592,245,37,61
593,245,37,61
595,245,37,61
596,245,37,61
598,245,37,61
600,245,37,61
602,246,37,61
604,246,37,61
606,247,37,61
608,248,37,61
610,248,37,61
612,248,37,61
613,248,37,61
615,248,37,61
616,248,37,61
618,248,37,61
619,248,37,61
621,248,37,61
622,248,37,61
624,248,37,61
625,248,37,61
626,248,37,61
628,248,37,61
629,248,37,61
630,248,37,61
632,248,37,61
633,248,37,61
635,248,37,61
636,248,37,61
638,248,37,61
640,248,37,61
642,248,37,61
643,248,37,61
645,248,37,61
647,248,37,61
648,248,37,61
650,248,37,61
651,248,37,61
652,248,37,61
653,248,37,61
654,248,37,61
656,248,37,61
657,248,37,61
658,248,37,61
659,248,37,61
662,249,37,61
664,250,37,61
666,251,37,61
668,251,37,61
670,252,37,61
671,252,37,61
673,252,37,61
674,252,37,61
675,252,37,61
676,252,37,61
677,252,37,61
678,252,37,61
679,252,37,61
680,252,37,61
681,252,37,61
683,252,34,61
685,252,32,61
688,252,30,61
690,252,28,61
692,252,26,61
694,252,24,61
696,252,22,61
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
2,183,29,64
2,183,29,64
2,183,29,64
2,183,29,64
2,183,30,64
2,183,30,64
3,183,31,64
3,183,32,64
3,183,33,64
3,183,33,64
3,183,34,64
3,183,35,64
5,183,35,64
7,183,35,64
9,183,35,64
11,183,35,64
13,183,35,64
14,183,35,64
16,182,35,64
17,182,35,64
19,182,35,64
20,181,35,64
22,181,35,64
23,181,35,64
24,181,35,64
25,181,35,64
27,181,35,64
28,181,35,64
30,181,35,64
31,180,35,64
33,180,35,64
34,180,35,64
36,179,35,64
38,179,35,64
40,178,35,64
42,177,35,64
44,177,35,64
45,177,35,64
47,177,35,64
48,177,35,64
50,177,35,64
51,177,35,64
53,177,35,64
54,177,35,64
55,177,35,64
56,177,35,64
57,177,35,64
59,177,35,64
61,177,35,64
63,177,35,64
65,177,35,64
67,177,35,64
68,177,35,64
70,177,35,64
71,177,35,64
73,177,35,64
74,177,35,64
75,177,35,64
76,177,35,64
77,177,35,64
78,177,35,64
79,177,35,64
81,177,35,64
82,177,35,64
84,177,35,64
85,177,35,64
